Company,Executive,Title,Since,Education,Notes,Updated
Accenture,Pierre Nanterme,Chairman and CEO[1],2011,ESSEC,"Replaced William D. Green, who became executive chairman.",1/17/2015
ACE Limited,Evan G. Greenberg,"Chairman, President, and CEO[2]",2004,New York University (attended); College of Insurance (attended),Former COO of American International Group.,1/17/2015
Aditya Birla Group,Kumar Birla,Chairman[3],1995[3],,Part of the Birla family business house in India.,1/17/2015
Adobe Systems,Shantanu Narayen,President and CEO[4],2007,"Osmania University, Bowling Green State University, Haas School of Business",Formerly with Apple Inc.,1/17/2015
Agenus,Garo H. Armen,"Founder, Chairman, CEO[5]",1994,City University of New York,,1/17/2015
Alliance Boots,Stefano Pessina,Executive Vice Chairman and acting CEO[6],2006,Polytechnic University of Milan,,1/17/2015
Alcatel-Lucent,Michel Combes,CEO[7],2013,École Polytechnique,Previously CEO of Vodaphone,1/17/2015
Alcoa,Klaus Kleinfeld,Chairman and CEO[8],2008,"Georg August University, University of Würzburg",Formerly with Siemens AG,1/17/2015
Amazon.com,Jeff Bezos,"Founder, President, CEO, and Chairman[9]",1994,Princeton University,,1/17/2015
AMD,Rory Read,CEO and President[10],2011,Hartwick College,Formerly with Lenovo Group and IBM,9/13/2013
American Express,Kenneth Chenault,Chairman and CEO[11],2001,"Bowdoin College, Harvard Law School",Third African-American CEO of a Fortune 500 company,1/17/2015
American Airlines Group,Doug Parker,Chairman and CEO[12],2013,"Albion College, Vanderbilt University",Previously CEO for US Airways,1/17/2015
AOL Inc.,Tim Armstrong,CEO and Chairman[13],2009,Connecticut College,Formerly with Google,1/17/2015
Apple Inc.,Tim Cook,CEO[14],2011,"Auburn University, Fuqua School of Business at Duke University",Assumed position from Steve Jobs,1/17/2015
Arcelor Mittal,Lakshmi Niwas Mittal,Chairman and CEO[15],2006,"St. Xavier's College, Calcutta",,1/17/2015
AT&T Inc.,Randall L. Stephenson,Chairman and CEO[16],2007,"University of Central Oklahoma, University of Oklahoma",,1/17/2015
BAE Systems Plc,Ian King,CEO[17],2008,,Also director of Rotork,1/17/2015
Banco Bilbao Vizcaya Argentaria,Francisco González,Chairman and CEO[18],2000,Complutense University of Madrid,,1/17/2015
Bank of America,Brian Moynihan,CEO[19],2009,"Brown University, University of Notre Dame Law School",,1/17/2015
Barclays,Antony Jenkins,Group Chief Executive[20],2012,"Trinity Hall, Cambridge, University of Cambridge, Harvard Business School",,1/17/2015
Berkshire Hathaway,Warren Buffett,Chairman and CEO,1970,"University of Pennsylvania, University of Nebraska–Lincoln, Columbia 
University","One of the world's wealthiest people, currently ranked third",1/17/2015
Best Buy,Hubert Joly,President and CEO[21],2012,Institut d’Etudes Politiques de Paris,Previously CEO of Carlson Wagonlit Travel,1/17/2015
Bharti Enterprises,Sunil Bharti Mittal,Founder and Chairman[22],1985,Punjab University,,1/17/2015
Blackstone Group,Stephen A. Schwarzman,"Chairman, CEO and Co-Founder[23]",1985,"Yale University, Harvard Business School",,1/17/2015
BHP Billiton,Andrew Mackenzie,CEO[24],2013,University of Bristol,,1/17/2015
BMW,Norbert Reithofer,Chairman of the Board of Management[25],2006,"Munich University of Applied Sciences, Technical University Munich",,1/17/2015
Boeing,"W. James McNerney, Jr.","Chairman, President and CEO[26]",2005,"Yale University, Harvard Business School",Formerly CEO of 3M,1/17/2015
Boston Consulting Group,Rich Lesser,President and CEO[27],2013,"Harvard Business School, University of Michigan",Replaced Hans-Paul Bürkner,1/17/2015
BP,Bob Dudley,Group Chief Executive[28],2010,"University of Illinois, Thunderbird School of Global Management, Southern 
Methodist University",,1/17/2015
Campbell Soup Company,Denise Morrison,President and CEO[29],2011,Boston College,,1/17/2015
Canonical Ltd.,Jane Silber,CEO[30],2010,University of Cape Town,Replaced Mark Shuttleworth.,1/17/2015
Capital One Financial,Richard Fairbank,"Founder, Chairman and CEO[31]",1988,Stanford University,,1/17/2015
Caterpillar Inc.,Douglas R. Oberhelman,Chairman and CEO[32],2010,Millikin University,,1/17/2015
Cavium Networks,Syed B. Ali,President and CEO[33],2000,"Osmania University, University of Michigan",,1/17/2015
CBS Corporation,Leslie Moonves,President and CEO[34],2006,Bucknell University,,1/17/2015
Cisco Systems,John Chambers,Chairman and CEO[35],1995,"West Virginia University, Indiana University, Duke University",,1/17/2015
Citigroup,Michael Corbat,CEO[36],2012,"Gannon University, Columbia University",,1/17/2015
Coca-Cola,Muhtar Kent,Chairman and CEO[37],2008,Tarsus American College,,1/17/2015
Cognizant Technology Solutions,Francisco D'Souza,CEO[38],2007,Carnegie Mellon University,,1/17/2015
Comcast,Brian L. Roberts,Chairman and CEO[39],2002,Wharton School of the University of Pennsylvania,,1/17/2015
ConAgra,Gary Rodkin,CEO[40],2005,"Rutgers University, Harvard Business School",Formerly with PepsiCo.,1/17/2015
Crown Worldwide Group,James E. Thompson,Chairman and founder[41],1965,San Jose State University,,1/17/2015
Daimler AG,Dieter Zetsche,Chairman of the board of management[42],2006,"University of Karlsruhe, University of Paderborn",,1/17/2015
Dell Inc,Michael Dell,Chairman of the Board and CEO[43],1984,University of Texas at Austin,Founder.,1/17/2015
"Delta Air Lines, Inc.",Richard H. Anderson,CEO[44],2007,"University of Houston–Clear Lake
South Texas College of Law",Former CEO of Continental Airlines,1/17/2015
Deutsche Bank,Juergen Fitschen,Co-Chairman of the Management Board[45],2012,University of Hamburg,Shares leadership with Anshu Jain.,1/17/2015
Deutsche Bank,Anshu Jain,Co-Chairman of the Management Board[45],2012,"Shri Ram College of Commerce, University of Massachusetts",Shares leadership with Juergen Fitschen.,1/17/2015
Deutsche Post World Net,Frank Appel,CEO[46],2008,"University of Munich, Swiss Federal Institute of Technology",,1/17/2015
DineEquity,Julia Stewart,Chairman and CEO[47],2007,San Diego State University,Parent of IHOP and Applebee's,1/17/2015
DLF Limited,Kushal Pal Singh,Chairman[48],1979,Meerut College,,1/17/2015
The Dow Chemical Company,Andrew Liveris,"President, Chairman and CEO[49]",2004,University of Queensland,,1/17/2015
Dr. Reddy's,G. V. Prasad,Co-chairman and CEO[50],2001,"Illinois Institute of Technology, Purdue University",,1/17/2015
Eastman Kodak,Jeff Clarke,CEO[51],2014,"Northeastern University, State University of New York at Geneseo",,1/17/2015
EADS,Tom Enders,CEO[52],2012,"University of Bonn, University of California",,1/17/2015
eBay,John Donahoe,President and CEO[53],2008,"Dartmouth College, Stanford Graduate School of Business",,1/18/2015
Electronic Arts,Andrew Wilson,CEO[54],2013,,,1/18/2015
Ericsson,Hans Vestberg,President and CEO[55],2010,Uppsala University,Chairman of the Swedish Handball Association,1/18/2015
Exxon Mobil,Rex Tillerson,Chairman and CEO[56],2006,University of Texas at Austin,,1/18/2015
Facebook,Mark Zuckerberg,Chairman and CEO,2004,"Ardsley High School, Phillips Exeter Academy, Harvard University",Co-founded Facebook in 2004.,1/18/2015
FedEx,Frederick W. Smith,"Chairman, president and CEO[57]",1971,Yale University,,1/31/2015
Fiat S.p.A.,Sergio Marchionne,,,,,
Fidelity Investments,Abigail Johnson,,,,,
Ford Motor Company,Alan Mulally,,,,,
Foxconn Electronics Inc,Terry Gou,,,,,
FUBU,Daymond John,,,,,
Formula One Management,Bernie Ecclestone,,,,,
General Dynamics,Nicholas Chabraja,,,,,
General Electric,Jeffrey R. Immelt,,,,,
General Motors,Mary T. Barra,CEO,2014,,,
Gerdau,André Bier Gerdau Johannpeter,CEO,2007,"Pontifícia Universidade Católica do Rio Grande do Sul, University of Toronto, 
Ashridge Business School and Wharton School.",,
GfK AG,Klaus L. Wübbenhorst,,,,,
GlaxoSmithKline,Andrew Witty,,,,,
Goldman Sachs,Lloyd Blankfein,,,,,
Google,Larry Page,,,,,
GMA Network,Felipe Gozon,,,,,
GMR Group,Grandhi Mallikarjuna Rao,Founder and CEO,,,,
GVK Group,Gunupati Venkata Krishna Reddy,Founder and CEO,,,,
Haas Outdoors,Toxey Haas,Founder and CEO,1986,Mississippi State University,Parent company of Mossy Oak,
Halliburton,David J. Lesar,,,,,
Harley Davidson,James Ziemer,,,,,
Harvard Pilgrim Health Care,,,,,,
HCL Technologies,Anant Gupta,,,,,
Henderson Land Development Co. Ltd.,Lee Shau Kee,Chairman and Managing Director[58],1976[59],,,9/30/2013
Hewlett-Packard,Meg Whitman,President and CEO[60],2011,"Princeton University, Harvard Business School",Formerly with eBay,9/30/2013
Hindalco,Kumar Mangalam Birla,,,,,
Home Depot,Frank Blake,,,,,
Honeywell,David M. Cote,,,,,
HP Hood LLC,John A. Kaneb,,,,,
HSBC,Stuart Gulliver,,,,,
IBM,Virginia M. Rometty,,,,,
IGATE,Ashok Vemuri,CEO,,,,
IKEA,Mikael Ohlsson,,,,,
Inchcape plc,André Lacroix,,,,,
Infosys Technologies Limited,Vishal Sikka[61],,,,,
Intel,Brian Krzanich,CEO,2013,,Replaced Paul Otellini,
InterCall,Scott Etzler,President and CEO,1999,"Indiana University, Kellogg School of Management",Also serves on the board of Steppenwolf Theater Company[62],
ITC Limited,Y C Deveshwar,CEO and Chairman of the Board[63],1996,,Has been with the company since 1968.,
J.Crew,Millard Drexler,CEO,2003,,"Former CEO of The Gap, also director at Apple Inc.",
Jefferies & Company,Richard B. Handler,"Chairman, CEO, and President",2001,"BA Economics University of Rochester, MBA Stanford University",Longest tenured CEO of a major Wall Street Firm,
JP Morgan Chase,James Dimon,CEO and Chairman,2004,,also on the board of the New York Federal Reserve,
Juniper Networks,Kevin Johnson,CEO,2008,,formerly of Microsoft,
"Kaplan, Inc.",Andrew Rosen,,,,,
Kingdom Holding Company,Al-Waleed bin Talal,,,,,
Koch Industries Inc.,Charles G. Koch,,,,,
Land Securities,Robert Noel,CEO,2012,Reading University,,
Lanco Infratech,Madhusudhan Rao Lagadapati,CEO,,Wayne State University,,
Las Vegas Sands,Sheldon Adelson,,,,,
Lehman Brothers,"Richard S. (Dick) Fuld, Jr.",,,,,
L.L. Bean,Christopher McCormick,,,,,
Larsen & Toubro Limited,A M Naik,,,,,
Lockheed Martin,Marillyn Hewson,,,,,
"Macy's, Inc.",Terry J. Lundgren,,,,,
Manchester United,David Gill,,,,,
Marks and Spencer,Stuart Rose,,,,,
McDonald's,Don Thompson,,,,,
McKinsey,Dominic Barton,Managing Director[64],2009[65],"University of British Columbia, Brasenose College, Oxford",Succeeded Ian Davis,8/4/2014
Mercedes-Benz,Dieter Zetsche,,,,,
Merrill Lynch,John Thain,,,,,
Mesa Air Group,Jonathan Ornstein,,,,,
MetLife,C. Robert Henrikson,,,,,
MGA Entertainment,Isaac Larian,,,,,
Microsoft,Satya Nadella,CEO,2/4/2014,"Manipal University, Hyderabad Public School, University of 
Wisconsin–Milwaukee, University of Chicago Graduate School of Business",was executive vice president of Microsoft’s Cloud and Enterprise group[66],9/12/2014
Mile High Comics,Chuck Rozanski,,,,,
Mindtree,Krishnakumar Natarajan,CEO and Managing Director,,XLRI,Ex-Chairman of NASSCOM,2/4/2014
Morgan Stanley,James P. Gorman,,,,,
Motorola,Greg Brown,,,,,
Mozilla,Mitchell Baker,,,,,
MySQL AB,Marten Mickos,,,,,
MySpace,Chris DeWolfe,,,,,
Nation Media Group,Wilfred Kiboro,CEO,1993,,"Replaced by Linus Gitahi in 2006. Still serves as the chairman of the NMG 
and Wilfay Investments Ltd. boards and serves on the boards of Standard 
Chartered Kenya and EABL as a non-executive director.",
National Amusements,Sumner Redstone,,,,,
NBCUniversal,Jeff Zucker,,,,,
Newlog,Yochanan Vollach,,,,,
News Corporation,Keith Rupert Murdoch,,,,,
New York Times Company,Janet L. Robinson,,,,,
NIIT,Vijay K. Thadani,,,,,
Nike,Mark Parker,,,Penn State University,,
Nissan,Carlos Ghosn,,,,,
Nokia,Rajeev Suri,CEO & President,2014,Manipal Institute of Technology,He was the CEO of Nokia Solutions and Networks earlier,4/29/2014
Nortel,Mike S. Zafirovski,,,,,
Novartis,Daniel Vasella,,,,,
Nintendo,Satoru Iwata,,,,,
Office Depot,Steve Odland,,,,,
Oxford Sustainable Group,Hadley Barrett,,,,,
Oracle Corporation,Larry Ellison,,,,,
Orascom Telecom Holding,Naguib Sawiris,,,,,
Outback Steakhouse,Chris T. Sullivan,,,,,
PepsiCo,Indra Nooyi,,,,,
Pfizer,Henry McKinnell,,,,,
Pizza Hut,David C. Novak,,,,,
Playboy Enterprises,Christie Hefner,,,,,
Polo Ralph Lauren,Ralph Lauren,,,,,
"Popular, Inc.",Richard Carrión,,,,,
"Prudential Financial, Inc.",John Strangfeld,,,,,
Qantas Airways Limited,Alan Joyce,,,,,
Qwest Communications International,Richard Notebaert,,,,,
Reliance Anil Dhirubhai Ambani Group,Anil Ambani,Chairman[67],1983,"University of Mumbai, University of Pennsylvania",,9/14/2013
Reliance Industries Limited,Mukesh Ambani,,,,,
Renault,Carlos Ghosn,,,,,
Rite Aid Corporation,Mary Sammons,,,,,
Rocawear,Jay-Z,,,,,
Royal Ahold N.V.,John Rishton,,,,,
Royal Bank of Canada,Gordon Nixon,,,Queen's University,,
Royal Bank of Scotland,Ross McEwan,,,,,
Royal Dutch Shell,Ben van Beurden,,,,,
Ryanair,Michael O'Leary,,,,,
S. C. Johnson & Son,Herbert Fisk Johnson III,,,,,
SAAB Automobile AB,Jan-Åke Jonsson,,,,,
SandRidge Energy,Tom L. Ward,Chairman and CEO,2006,University of Oklahoma,"former President, COO and co-founder of Chesapeake Energy",
Samsung,Kun-Hee Lee,,,,,
SAP AG,Bill McDermott,CEO,2010,"Dowling College, Northwestern University[68]",,
SAS Institute,James Goodnight,,,,,
Sbarro,James J. Greco,CEO and President,2012,"Georgetown University, University of Miami School of Law","Formerly with Le Duff America, Bruegger's, Fieldbrook Farms, and Natural 
Country Farms",
Scottrade,Rodger O. Riney,,,,,
Seagate Technology,Steve Luczo,,,,,
Siemens A.G.,Peter Löscher,President and CEO,2007,"Vienna University of Economics and Business Administration, Chinese 
University of Hong Kong, Harvard University, Michigan State University",Formerly with General Electric and Merck,
Simon Property Group,David Simon,,,,,
SingTel,Chua Sock Koong,,,,,
Sirius Satellite Radio,Mel Karmazin,,,,,
Sleep Country Canada,Stephen K. Gunn,,,,,
SoftBank,Masayoshi Son,,,,,
Southwest Airlines,Gary C. Kelly,,,,,
Sonic Corporation,J. Clifford Hudson,Chairman and CEO,,,,
Sony Corporation,Kazuo Hirai,President and CEO,2012,,,
Sony Computer Entertainment,Andrew House,President and CEO,2011,,,
Starbucks Coffee Company,Howard Schultz,,,,,
Statoil,Helge Lund,,,,,
Sun Hung Kai Properties Ltd.,Walter Kwok,,,,,
Sun Microsystems,Jonathan I. Schwartz,,,,,
Sun Pharmaceutical,Dilip Shanghvi,Founder and CEO,,,,
SunTrust Banks Inc.,"James M. Wells, III",,,,,
Supervalu Inc.,Jeff Noddle,,,,,
Sulekha,Satya Prabhakar,,,,,
Swedbank,Jan Lidén,,,,,
Syntel Inc.,Bharat Desai,,,,,
Target Corporation,Gregg Steinhafel,"Chairman, President, and CEO",2008,,,
Tata Consultancy Services,N Chandrasekaran,,,,,
Tata Steel,B Muthuraman,,,,,
Telefónica,César Alierta,CEO and Chairman,2000,Columbia University,,
Telmex,Carlos Slim Helú,,,,,
Telstra,David Thodey,,,,,
Temasek Holdings,Ho Ching,,,,,
Tesco,Philip Clarke,,,,,
Tim Hortons,Paul D. House,,,,,
Time Warner,Jeffrey L. Bewkes,,,,,
Tod's,Diego Della Valle,Managing Director,1970,University of Bologna,,
"TJX Companies, Inc.",Carol Meyrowitz,,,,,
Tracinda Corporation,"Kerkor ""Kirk"" Kerkorian",,,,,
"The Siegel Group Nevada, Inc",Stephen Siegel,,,,,
The Travelers Companies,Jay S. Fishman,,,,,
Trump Organization,Donald Trump,,,,,
Toyota,Hiroshi Okuda,,,,,
Toys for Bob,Paul Reiche III,,,,,
"Toys ""R"" Us",Gerald L. Storch,,,,,
Tradeking,Donato A. Montanaro,,,,,
"Turner Broadcasting System, Inc.",Philip I. Kent,,,,,
Twitter,Dick Costolo,CEO,,,,
UAL Corporation,Glenn F. Tilton,,,,,
UBS AG,Sergio Ermotti,,,,,
U.S. Century Bank,Octavio Hernández,,,,,
United Parcel Service,D. Scott Davis,,,,,
UGI Corp.,Lon R. Greenberg,,,,,
United States Steel Corp.,John P. Surma,,,,,
United Technologies,Louis R. Chênevert,,,,,
Valero Energy Corporation,William R. Klesse,,,,,
Verizon Communications,Lowell McAdam,Chairman and CEO,2011,"Cornell University, University of San Diego",Former CEO of Verizon Wireless,
Viacom,Philippe P. Dauman,,,,,
Viking Range,"Fred Carl, Jr.",,,,,
Vodafone,Vittorio Colao,,,,,
Volkswagen,Martin Winterkorn,,,,,
Vulcan Inc.,Paul Allen,,,,,
The Walt Disney Company,Robert Iger,Chairman and CEO,,,,
Walgreen Company,Gregory Wasson,,,,,
Wal-Mart,Mike Duke,,,,,
Warner Bros.,Barry Meyer,,,,,
Washington Mutual,Kerry Killinger,,,,,
The Washington Post Company,Donald Graham,,,,,
Wells Fargo,John Stumpf,"Chairman, President, and CEO",,,,
Whole Foods Market,John Mackey,,,,,
Williams-Sonoma,Laura J. Alber,"Director, President, and CEO[69]",2010,University of Pennsylvania,replaced W. Howard Lester,
Windstream Corporation,Jeffery Gardner,,,,,
Winn-Dixie,Peter Lynch,,,,,
Wipro Technologies Limited,T K Kurien,,,,,
World Wrestling Entertainment,Vincent K. McMahon,"Founder, Chairman and CEO[70]","1980 Chairman
2009 CEO",East Carolina University,Chairman of the Executive Committee,
Yahoo!,Marissa Mayer,CEO,2012,Stanford university,Former spokesperson at Google,
YG Entertainment,Yang Hyun Suk,Founder and CEO,1996,,,9/30/2013
"Yum! Brands, Inc.",David C. Novak,Chairman and CEO,2001[71],University of Missouri,Formerly COO for Pepsi-Cola.,9/30/2013